Renault  Laguna   1997   50000   1700,0 
Renault  Megane   2001   20000   3500,0 
Toyota   Corolla  2001   20000   8500,8 
Renault  Laguna   2001  115900   7500,0 
Renault  Megane   1946  365100   9500,0 Netinkami gamybos metai, turi būti [1994:2014]
Honda    Civic    2007   36400   8500,3 
Ford     Focus    2009   40000  36000,0 
Ford     Focus    2008   50000  34000,0 
Ford     Focus    2007   60000  32000,0 
Ford     Focus    2006   70000  30000,0 
Ford     Focus    2005   80000  28000,0 
Ford     Focus    2004   90000  26000,0 
Ford     Focus    2003  100000  24000,0 
Ford     Focus    2002  110000  22000,0 
Ford     Mondeo   2009   37000      0,0  Kaina už leistinų ribų [600.0:355000.0]
Fiat     Bravo    2008   27000  32500,0 
Ford     Fiesta   2009   37000  16000,0 
Audi     A6       2006   87000  36000,0 
