+-----------+----------+-------------+------------------+
|    ODO    |   Econ   |    Model    |    Calculated    |
+-----------+----------+-------------+------------------+
|      2273 |      8.7 | Renault     |         20506.10 |
|     11012 |      3.7 | Suzuki      |         41395.40 |
|     78627 |      3.1 | Audi        |        244130.70 |
|     41545 |      6.7 | Suzuki      |        279002.50 |
|     35110 |      8.0 | Volvo       |        281414.00 |
|    117082 |      5.3 | Lincoln     |        621253.62 |
|     97963 |      6.6 | Audi        |        646942.81 |
|    191025 |      3.6 | Daihatsu    |        688509.00 |
|     74424 |     10.9 | Volvo       |        811755.62 |
|    227702 |      3.9 | Renault     |        888768.81 |
|    528090 |      3.9 | Citroen     |       2060275.00 |
|    491033 |      4.2 | Daihatsu    |       2063157.62 |
|    191350 |     10.9 | Subaru      |       2086341.00 |
|    159839 |     13.9 | Audi        |       2222149.00 |
|    491177 |      4.7 | Toyota      |       2309172.00 |
|    553096 |      4.2 | Citroen     |       2323727.25 |
|    340711 |      7.0 | Subaru      |       2385603.00 |
|    509685 |      4.8 | AMC         |       2446697.00 |
|    480289 |      5.1 | Audi        |       2449861.00 |
|    369722 |      6.7 | Mitsubishi  |       2478194.50 |
|    266484 |      9.5 | Renault     |       2532329.00 |
|    380517 |      6.7 | Daihatsu    |       2550283.00 |
|    260006 |     10.2 | Lincoln     |       2652780.25 |
|    385260 |      7.2 | Volvo       |       2774406.00 |
|    449051 |      6.4 | Volvo       |       2874460.50 |
|    385220 |      7.5 | Mazda       |       2889643.00 |
|    293227 |      9.9 | Mitsubishi  |       2904004.25 |
|    209823 |     13.9 | Lincoln     |       2917258.75 |
|    336509 |     12.5 | Subaru      |       4206988.50 |
|    394023 |     11.2 | Volvo       |       4413591.50 |
|    332711 |     14.0 | Volvo       |       4658488.00 |
|    352659 |     13.3 | Daihatsu    |       4691183.50 |
|    550368 |      8.6 | Citroen     |       4733889.00 |
|    367008 |     13.2 | AMC         |       4844714.50 |
|    580835 |     11.6 | Toyota      |       6738326.00 |
|    557389 |     12.1 | Mazda       |       6744900.00 |
|    511999 |     13.6 | BMW         |       6963416.50 |
+-----------+----------+-------------+------------------+
