Won,Kills,Deaths,Assists,Dragons,Minions killed
red,9,6,11,0,195
red,5,5,5,0,174
red,7,11,4,1,186
red,4,5,5,0,201
red,6,6,6,0,210
blue,5,3,6,1,225
blue,7,6,7,1,225
red,5,13,3,0,209
red,7,7,8,0,189
blue,4,5,5,1,220
red,4,4,6,0,231
red,11,11,7,0,157
blue,7,1,11,1,238
red,4,9,1,0,210
blue,4,4,4,0,224
red,3,7,3,0,209
blue,10,2,8,0,263
red,3,7,3,0,203
blue,5,4,11,0,213
red,5,9,5,0,188
blue,11,6,15,1,214
red,4,13,5,0,203
red,4,6,3,0,238
red,4,3,4,1,238
blue,6,9,10,0,208
red,4,8,4,0,204
blue,8,6,9,1,209
red,7,4,9,0,228
red,8,6,13,1,217
red,3,8,2,1,233
blue,9,4,10,1,228
blue,5,2,6,1,218
red,6,4,7,0,203
red,5,4,4,0,201
blue,6,4,4,0,204
red,3,4,6,0,235
red,2,8,2,1,217
red,5,6,4,0,203
red,7,9,5,0,234
red,3,6,3,0,213
red,4,11,3,0,222
blue,10,6,12,0,231
blue,9,6,14,1,204
blue,5,5,3,0,233
red,3,4,2,0,252
red,1,10,0,0,187
blue,11,2,9,0,251
blue,8,4,5,1,218
blue,2,3,2,0,180
red,5,5,8,0,206
red,7,9,5,0,209
blue,6,8,6,0,213
blue,5,2,2,1,217
blue,5,3,5,0,248
red,3,3,2,1,246
red,4,10,4,0,224
red,5,7,7,1,181
blue,10,6,11,1,213
blue,7,5,5,1,222
red,10,7,11,0,236
red,2,7,0,0,191
red,6,7,5,0,208
blue,6,4,4,1,229
blue,9,1,10,1,229
red,4,10,3,1,203
red,6,12,7,0,188
red,4,5,2,0,210
red,7,8,8,1,212
blue,3,5,3,0,233
red,4,5,4,0,198
red,9,8,7,0,202
blue,5,4,6,0,200
red,8,2,11,0,232
red,2,7,1,1,204
blue,6,4,4,1,242
blue,6,4,8,1,200
red,4,6,1,0,221
blue,8,4,7,0,212
blue,13,9,18,1,232
red,7,6,12,0,242
red,11,4,12,0,256
red,6,6,10,1,204
red,7,8,6,0,199
blue,9,8,7,1,235
blue,10,10,14,1,208
blue,7,2,12,1,261
red,1,6,0,0,241
blue,5,8,7,1,201
blue,10,4,12,0,232
red,3,10,2,1,210
red,7,11,3,0,194
red,3,5,2,0,236
blue,9,2,5,0,223
blue,7,7,6,0,257
red,7,7,10,1,209
red,5,10,6,0,213
blue,5,4,9,0,247
blue,6,8,10,0,250
blue,11,6,11,1,242
red,5,8,4,0,227
red,6,8,2,1,224
red,4,6,4,0,209
red,6,7,2,0,199
red,8,3,7,0,252
red,8,11,9,0,222
red,6,4,8,1,248
blue,6,14,4,0,200
red,3,5,1,0,233
blue,9,5,9,0,221
blue,6,4,6,1,211
blue,2,7,2,1,231
red,5,10,3,1,232
blue,12,9,10,0,143
red,9,17,17,0,187
blue,12,6,12,1,202
red,7,9,5,1,228
blue,7,10,7,0,227
blue,6,4,12,1,224
red,2,6,1,0,196
red,5,5,7,0,217
red,8,8,8,1,229
red,3,9,2,0,213
blue,9,8,10,1,192
blue,10,7,10,0,207
red,3,10,2,0,193
blue,9,7,11,1,205
blue,7,14,6,1,183
blue,5,3,6,1,240
red,6,7,6,0,212
blue,7,5,6,0,215
blue,7,1,8,0,226
blue,6,3,11,1,241
blue,4,4,4,0,215
blue,4,7,4,1,226
red,5,7,4,0,191
blue,6,9,2,1,228
blue,9,7,15,1,199
blue,12,4,9,0,227
blue,5,5,6,0,223
red,3,4,3,1,211
red,4,9,5,0,192
red,4,15,4,0,183
blue,7,6,7,0,251
red,5,7,2,0,172
blue,10,5,16,0,192
blue,12,4,15,0,206
blue,4,11,5,0,232
red,3,8,4,1,191
blue,13,9,22,0,207
red,4,3,4,0,232
red,3,1,3,1,224
red,8,8,3,0,203
red,8,6,12,1,178
red,6,7,10,0,230
red,6,14,3,0,198
red,7,11,9,0,230
blue,13,5,10,1,222
blue,10,5,13,0,213
red,3,10,4,0,200
blue,6,6,5,0,205
blue,7,6,8,0,207
blue,9,5,9,1,225
blue,8,3,9,1,235
blue,5,6,4,1,198
red,4,2,6,1,229
blue,6,6,10,0,221
red,5,9,5,0,196
red,7,7,5,0,215
red,6,7,7,0,225
blue,7,3,6,1,253
red,4,6,1,0,188
blue,5,4,7,0,188
red,5,5,5,0,213
blue,5,5,6,1,229
red,6,11,8,1,200
blue,6,6,6,0,240
blue,9,5,9,0,230
red,2,8,4,0,222
blue,5,4,3,1,238
blue,4,8,6,0,222
red,5,6,5,0,211
red,3,5,3,0,186
blue,8,2,5,1,229
blue,10,2,11,0,218
red,6,7,7,0,180
red,1,5,2,0,187
red,6,6,9,0,269
blue,9,7,13,1,178
